"Population","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening","Area_Rural","Area_Suburban","Area_Urban","Marital_Divorced","Marital_Married","Marital_Never_Married","Marital_Separated","Marital_Widowed","Gender_Female","Gender_Male","Gender_Nonbinary","Churn_No","Churn_Yes","Techie_No","Techie_Yes","Contract_Month_to_month","Contract_One_year","Contract_Two_Year","Port_modem_No","Port_modem_Yes","Tablet_No","Tablet_Yes","InternetService_DSL","InternetService_Fiber_Optic","InternetService_None","Phone_No","Phone_Yes","Multiple_No","Multiple_Yes","OnlineSecurity_No","OnlineSecurity_Yes","OnlineBackup_No","OnlineBackup_Yes","DeviceProtection_No","DeviceProtection_Yes","TechSupport_No","TechSupport_Yes","StreamingTV_No","StreamingTV_Yes","StreamingMovies_No","StreamingMovies_Yes","PaperlessBilling_No","PaperlessBilling_Yes","PaymentMethod_Bank_Transfer_automatic_","PaymentMethod_Credit_Card__automatic_","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
0.123942780509611,0.1,0.422535211267606,0.0832526062471297,0.755798622798794,0.684210526315789,0.285714285714286,0,0.226580129281462,0.190206886799236,0.286867983424401,0.5,0.5,0.5,0.166666666666667,0.666666666666667,0.5,0.333333333333333,0.285714285714286,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
0.206919982118909,0.2,0.169014084507042,0.118903626056847,0.389159265250732,0.736842105263158,0,0,0.0459724060931857,0.166389692637117,0.117671015423858,0.166666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.5,0.571428571428571,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0.00496200268216361,0.7,0.0704225352112676,0.0998870730906861,0.468954011464862,0.368421052631579,0,0.5,0.257285275630448,0.45189149063263,0.367426345078749,0.5,0.5,0.5,1,0.333333333333333,0.333333333333333,0.333333333333333,0.428571428571429,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
0.0187125614662494,0.3,0.295774647887324,0.402412283695549,0.543952763448824,0.578947368421053,0.142857142857143,0,0.181266635375587,0.464702519406091,0.240524567682321,0.333333333333333,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.666666666666667,0.142857142857143,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
0.0648100134108181,0.2,0.591549295774648,0.198006932882208,0.494155518885995,0.736842105263158,0.428571428571429,0,0.018353378974622,0.583800032618466,0.103747339381166,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.285714285714286,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0.0196066160035762,0.2,0.704225352112676,0.359810634460291,0.354017147897378,0.368421052631579,0,0,0.106247354792739,0.332900071409214,0.112783096797278,0.5,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.5,0.285714285714286,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
0.0153419758605275,0.3,0.028169014084507,0.0448334755841064,0.67971253545816,0.578947368421053,0.285714285714286,0,0.0060582104513778,0.571664962291007,0.157623009624327,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.166666666666667,0.5,0.5,0.142857142857143,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0
0.469235583370586,0.4,0.71830985915493,0.149315758309475,0.534647222790438,0.842105263157895,0.142857142857143,0,0.0623333322468395,0.845328190757211,0.226975791752684,0.5,0.5,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.666666666666667,0.428571428571429,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
0.00607957085382208,0.6,0.901408450704225,0.233581912691335,0.439765340191771,0.368421052631579,0,0,0.052495500506246,0.714269409334812,0.122580072585795,0.5,0.5,0.5,0.666666666666667,0.166666666666667,0.666666666666667,0.333333333333333,0.571428571428571,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
0.00121591417076442,0.5,0.788732394366197,0.115183354238645,0.561100788498515,0.315789473684211,0.142857142857143,0.25,0.280271112686077,0.45189149063263,0.360571791122788,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0
